Business_ID,Counter_ID,Category,SITE_ID,Branch
00017775,20005,Fashion,9550,禮客內湖店
00017776,20007,Fashion,9550,禮客內湖店
00017777,20034,Fashion,9550,禮客內湖店
00017778,20035,Fashion,9550,禮客內湖店
00017779,30115,Sports,9550,禮客內湖店
00017780,30159,Sports,9550,禮客內湖店
00017781,30349,Leisurewear,9550,禮客內湖店
00017782,30051,Men's Wear,9550,禮客內湖店
00017783,30409,Sports,9550,禮客內湖店
00017784,30464,Men's Wear,9550,禮客內湖店
00017785,30475,Women's Wear,9550,禮客內湖店
00017786,30476,Women's Wear,9550,禮客內湖店
00017787,40011,Sports,9550,禮客內湖店
00017788,40013,Men's Wear,9550,禮客內湖店
00017789,20058,Fashion,9550,禮客內湖店
00017790,30002,Men's Wear,9550,禮客內湖店
00017791,50083,Hardware,9550,禮客內湖店
00017792,10114,Women's Wear,9550,禮客內湖店
00017793,30254,Sports,9550,禮客內湖店
00017794,30433,Sports,9550,禮客內湖店
00017795,40018,Sports,9550,禮客內湖店
00017796,50011,Outdoors,9550,禮客內湖店
00017797,30306,Sports,9550,禮客內湖店
00017798,50060,Outdoors,9550,禮客內湖店
00017799,50082,Outdoors,9550,禮客內湖店
00017800,20153,Fashion,9550,禮客內湖店
00017801,20108,Fashion,9550,禮客內湖店
00017802,90005,Sports,9550,禮客內湖店
00017803,20174,Sports,9550,禮客內湖店
00017804,30445,Men's Wear,9550,禮客內湖店
00017805,20169,Fashion,9550,禮客內湖店
00017806,30474,Sports,9550,禮客內湖店
00017807,30082,Sports,9550,禮客內湖店
00017808,20170,Fashion,9550,禮客內湖店
00017809,10121,Fashion,9550,禮客內湖店
00017810,20039,Fashion,9550,禮客內湖店
00017811,30354,Sports,9550,禮客內湖店
00017812,30117,Women's Wear,9550,禮客內湖店
00017813,30378,Sports,9550,禮客內湖店
00017814,20157,Fashion,9550,禮客內湖店
00017815,30420,Sports,9550,禮客內湖店
00017816,30459,Sports,9550,禮客內湖店
00017817,50020,Outdoors,9550,禮客內湖店
00017818,30331,Sports,9550,禮客內湖店
00017819,20058,Fashion,9550,禮客內湖店
00017820,30002,Men's Wear,9550,禮客內湖店
00017821,70007,Restaurants,9550,禮客內湖店
00017822,10119,Fashion,9550,禮客內湖店
00017823,20172,Sports,9550,禮客內湖店
00017824,30473,Men's Wear,9550,禮客內湖店
